num,sample,population,species,ploidy,Genotype,Latitude,Longitude
223,KYHR6,KYHR,Pumila,triploid,,37.82217,-84.16229
224,VCN3,VCN,Pumila,diploid,,41.956749,-82.516898
225,INEM9,INEM,Laevigata,diploid,,38.78619,-87.46921
226,MSWD6,MSWD,Pumila,diploid,,34.662829,-89.463956
227,PASH2,PASH,Pumila,triploid,,39.73419,-75.3499
228,VCN11,VCN,Pumila,triploid,,41.956749,-82.516898
229,ILGG18,ILGG,Pumila,triploid,,37.598331,-88.381962
230,MSCS14,MSCS,Pumila,diploid,,32.105878,-88.697003
231,PASH10,PASH,Pumila,triploid,,39.73419,-75.3499
232,ILWB23,ILWB,Pumila,triploid,,37.373705,-88.925713
233,MSSM8,MSSM,Unknown,diploid,,32.87059,-88.7205
234,VAWR15,VAWR,Pumila,triploid,,36.63492,-83.52171
235,VCN27,VCN,Pumila,diploid,,41.956749,-82.516898
236,ALCC8,ALCC,Laevigata,diploid,,31.95625,-86.85286
237,PABE1,PABE,Pumila,triploid,,40.01396,-78.432
238,ALHR7,ALHR,Pumila,triploid,,31.72516,-86.47214
239,MOKC7,MOKC,Occidentalis,diploid,,38.500219,-90.689503
240,INEM15,INEM,Occidentalis,diploid,,38.78619,-87.46921
241,WB8,WB,Pumila,triploid,,41.956749,-82.516898
242,ALAC20,ALAC,Pumila,diploid,,31.86926,-86.2607
243,MOGR18,MOGR,Pumila,triploid,,38.50395,-90.70229
244,MOSJ6,MOSJ,Unknown,triploid,,37.81934,-90.53063
245,WB16,WB,Pumila,triploid,,41.956749,-82.516898
246,MOMA14,MOMA,Laevigata,diploid,,38.37909,-90.3941
247,SCCC14,SCCC,Laevigata,diploid,,34.335226,-82.028893
248,VARC3,VARC,Occidentalis,triploid,,37.38912,-80.86716
249,MOSJ18,MOSJ,Pumila,triploid,,37.81934,-90.53063
250,SCSF14,SCSF,Pumila,diploid,,34.542691,-81.761763
251,MOCC7,MOCC,Pumila,triploid,,37.16991,-91.12621
252,OHES7,OHES,Occidentalis,diploid,,41.42536,-82.64314
253,PPP15,PPP,Pumila,triploid,,41.956749,-82.516898
254,ARGR18,ARGR,Pumila,diploid,,36.28403,-91.18691
255,OHCQ15,OHCQ,Pumila,triploid,,41.38885,-82.83069
256,COHA5,COHA,Occidentalis,diploid,,41.952239,-82.515201
257,PPP23,PPP,Pumila,triploid,,41.956749,-82.516898
258,MIWA10,MIWA,Pumila,triploid,,42.39036,-84.05453
259,GC3,GC,Pumila,triploid,,44.22311,-77.586724
260,PPP31,PPP,Pumila,triploid,,41.956749,-82.516898
261,ARCC16,ARCC,Laevigata,diploid,,35.934342,-91.911572
262,ILHE3,ILHE,Laevigata,diploid,,37.583126,-88.441493
263,KYHR8,KYHR,Pumila,triploid,,37.82217,-84.16229
264,VCN4,VCN,Pumila,diploid,,41.956749,-82.516898
265,INEM10,INEM,Occidentalis,diploid,,38.78619,-87.46921
266,MSWD7,MSWD,Pumila,diploid,,34.662829,-89.463956
267,PASH3,PASH,Pumila,triploid,,39.73419,-75.3499
268,VCN12,VCN,Pumila,triploid,,41.956749,-82.516898
269,ILGG19,ILGG,Pumila,triploid,,37.598331,-88.381962
270,MSCS15,MSCS,Pumila,diploid,,32.105878,-88.697003
271,VAWR4,VAWR,Pumila,triploid,,36.63492,-83.52171
272,ILWB24,ILWB,Laevigata,diploid,,37.373705,-88.925713
273,MSSM9,MSSM,Unknown,diploid,,32.87059,-88.7205
274,VAWR16,VAWR,Pumila,triploid,,36.63492,-83.52171
275,ALCC9,ALCC,Laevigata,diploid,,31.95625,-86.85286
276,ILLG18,ILLG,Pumila,diploid,,37.68365,-89.39614
277,PABE2,PABE,Pumila,triploid,,40.01396,-78.432
278,WB1,WB,Pumila,diploid,,41.956749,-82.516898
279,ALHR8,ALHR,Pumila,diploid,,31.72516,-86.47214
280,MOKC9,MOKC,Occidentalis,diploid,,38.500219,-90.689503
281,WB9,WB,Pumila,unknown,,41.956749,-82.516898
282,ALAC21,ALAC,Pumila,triploid,,31.86926,-86.2607
283,MOGR20,MOGR,Pumila,triploid,,38.50395,-90.70229
284,WB17,WB,Pumila,triploid,,41.956749,-82.516898
285,MOMA18,MOMA,Laevigata,diploid,,38.37909,-90.3941
286,SCCC8,SCCC,Pumila,triploid,,34.335226,-82.028893
287,SCSF11,SCSF,Laevigata,diploid,,34.542691,-81.761763
288,VARC4,VARC,Occidentalis,diploid,,37.38912,-80.86716
289,MOSJ19,MOSJ,Pumila,triploid,,37.81934,-90.53063
290,SCSF15,SCSF,Laevigata,diploid,,34.542691,-81.761763
291,PPP8,PPP,Pumila,triploid,,41.956749,-82.516898
292,TXFW9,TXFW,Pumila,diploid,,32.837848,-97.476646
293,MOCC8,MOCC,Pumila,triploid,,37.16991,-91.12621
294,OHES8,OHES,Occidentalis,diploid,,41.42536,-82.64314
295,PPP16,PPP,Pumila,triploid,,41.956749,-82.516898
296,ARGR19,ARGR,Unknown,diploid,,36.28403,-91.18691
297,OHCQ19,OHCQ,Pumila,triploid,,41.38885,-82.83069
298,COHA6,COHA,Occidentalis,diploid,,41.952239,-82.515201
299,ARWR20,ARWR,Pumila,diploid,,35.91122,-91.928
300,MIWA11,MIWA,Pumila,triploid,,42.39036,-84.05453
301,GC4,GC,Pumila,triploid,,44.22311,-77.586724
302,PPP32,PPP,Pumila,triploid,,41.956749,-82.516898
303,ARCC17,ARCC,Laevigata,diploid,,35.934342,-91.911572
304,ILHE4,ILHE,Occidentalis,diploid,,37.583126,-88.441493
305,KYHR9,KYHR,Pumila,triploid,,37.82217,-84.16229
306,VCN5,VCN,Pumila,triploid,,41.956749,-82.516898
307,INEM12,INEM,Laevigata,diploid,,38.78619,-87.46921
308,MSCS2,MSCS,Laevigata,diploid,,32.105878,-88.697003
309,PASH4,PASH,Pumila,triploid,,39.73419,-75.3499
310,VCN13,VCN,Pumila,triploid,,41.956749,-82.516898
311,ILGG20,ILGG,Pumila,triploid,,37.598331,-88.381962
312,MSCS16,MSCS,Unknown,diploid,,32.105878,-88.697003
313,VAWR5,VAWR,Pumila,triploid,,36.63492,-83.52171
314,VCN21,VCN,Pumila,diploid,,41.956749,-82.516898
315,ILWB27,ILWB,Laevigata,diploid,,37.373705,-88.925713
316,MSSM16,MSSM,Pumila,diploid,,32.87059,-88.7205
317,VAWR17,VAWR,Pumila,triploid,,36.63492,-83.52171
318,VCN29,VCN,Pumila,diploid,,41.956749,-82.516898
319,ALCC10,ALCC,Laevigata,diploid,,31.95625,-86.85286
320,ILLG19,ILLG,Pumila,diploid,,37.68365,-89.39614
321,ALHR9,ALHR,Pumila,diploid,,31.72516,-86.47214
322,MOKC10,MOKC,Occidentalis,diploid,,38.500219,-90.689503
323,ILWB2,ILWB,Pumila,triploid,,37.373705,-88.925713
324,WB10,WB,Pumila,triploid,,41.956749,-82.516898
325,ALAC22,ALAC,Pumila,triploid,,31.86926,-86.2607
326,MOGR21,MOGR,Pumila,triploid,,38.50395,-90.70229
327,ARCC4,ARCC,Pumila,triploid,,35.934342,-91.911572
328,ID-ID2,ID-ID,Pumila,triploid,,41.74501,-87.08798
329,MOMA19,MOMA,Laevigata,diploid,,38.37909,-90.3941
330,SCCC9,SCCC,Pumila,triploid,,34.335226,-82.028893
331,SCSF17,SCSF,Unknown,diploid,,34.542691,-81.761763
332,VARC5,VARC,Occidentalis,diploid,,37.38912,-80.86716
333,MOSJ20,MOSJ,Pumila,triploid,,37.81934,-90.53063
334,SCSF16,SCSF,Unknown,diploid,,34.542691,-81.761763
335,VCN22,VCN,Pumila,triploid,,41.956749,-82.516898
336,ARWR5,ARWR,Pumila,diploid,,35.91122,-91.928
337,ARGR11,ARGR,Pumila,triploid,,36.28403,-91.18691
338,OHCQ4,OHCQ,Pumila,triploid,,41.38885,-82.83069
339,ARWR7,ARWR,Pumila,diploid,,35.91122,-91.928
340,ILHE1,ILHE1,Pumila,diploid,,37.583126,-88.441493
341,VCN19,VCN,Pumila,triploid,,41.956749,-82.516898
342,ILLG16,ILLG,Pumila,diploid,,37.68365,-89.39614
343,ARWR14,ARWR,Pumila,diploid,,35.91122,-91.928
344,ILGG2,ILGG,Occidentalis,triploid,,37.598331,-88.381962
345,TXFW20,TXFW,Pumila,triploid,,32.837848,-97.476646
346,VAWR9,VAWR,Pumila,triploid,,36.63492,-83.52171
347,TXFW12,TXFW,Pumila,triploid,,32.837848,-97.476646
348,SCCC6,SCCC,Unknown,triploid,,34.335226,-82.028893
349,ARCC3,ARCC,Pumila,diploid,,35.934342,-91.911572
350,PPP24,PPP,Pumila,triploid,,41.956749,-82.516898
351,VCN7,VCN,Pumila,triploid,,41.956749,-82.516898
352,VCN10,VCN,Pumila,triploid,,41.956749,-82.516898
353,ARWR1,ARWR,Pumila,diploid,,35.91122,-91.928
354,TXFW3,TXFW,Pumila,diploid,,32.837848,-97.476646
355,VCN1,VCN,Pumila,triploid,,41.956749,-82.516898
356,TXFW15,TXFW,Pumila,diploid,,32.837848,-97.476646
357,TXFW18,TXFW,Pumila,triploid,,32.837848,-97.476646
358,PtAHyl,PtA,Pumila,triploid,,44.157764,-77.29982
359,PPP21,PPP,Pumila,triploid,,41.956749,-82.516898
