"sample" "pop1" "pop2" "population"
"123" "MOMA14" 0.441 0.559 "mix"
"124" "SCCC14" 0.02 0.98 "laevigata"
"125" "SCSF14" 0.008 0.992 "laevigata"
"126" "OHES7" 0.97 0.03 "occidentalis"
"127" "ARGR18" 0.012 0.988 "laevigata"
"128" "COHA5" 0.993 0.007 "occidentalis"
"129" "ARCC16" 0.007 0.993 "laevigata"
"130" "ILHE3" 0.576 0.424 "mix"
"131" "VCN4" 0.985 0.015 "occidentalis"
"132" "INEM10" 0.981 0.019 "occidentalis"
"133" "MSWD7" 0.015 0.985 "laevigata"
"134" "MSCS15" 0.012 0.988 "laevigata"
"135" "ILWB24" 0.436 0.564 "mix"
"136" "MSSM9" 0.008 0.992 "laevigata"
"137" "ALCC9" 0.015 0.985 "laevigata"
"138" "ILLG18" 0.027 0.973 "laevigata"
"139" "WB1" 0.993 0.007 "occidentalis"
"140" "ALHR8" 0.032 0.968 "laevigata"
"141" "MOKC9" 0.99 0.01 "occidentalis"
"142" "MOMA18" 0.008 0.992 "laevigata"
"143" "SCSF11" 0.008 0.992 "laevigata"
"144" "VARC4" 0.984 0.016 "occidentalis"
"145" "SCSF15" 0.01 0.99 "laevigata"
"146" "OHES8" 0.969 0.031 "occidentalis"
"147" "ARGR19" 0.022 0.978 "laevigata"
"148" "COHA6" 0.988 0.012 "occidentalis"
"149" "ARWR20" 0.011 0.989 "laevigata"
"150" "ARCC17" 0.025 0.975 "laevigata"
"151" "ILHE4" 0.91 0.09 "occidentalis"
"152" "INEM12" 0.834 0.166 "occidentalis"
"153" "MSCS2" 0.01 0.99 "laevigata"
"154" "MSCS16" 0.007 0.993 "laevigata"
"155" "VCN21" 0.99 0.01 "occidentalis"
"156" "ILWB27" 0.105 0.895 "laevigata"
"157" "MSSM16" 0.008 0.992 "laevigata"
"158" "VCN29" 0.991 0.009 "occidentalis"
"159" "ALCC10" 0.009 0.991 "laevigata"
"160" "ILLG19" 0.009 0.991 "laevigata"
"161" "ALHR9" 0.03 0.97 "laevigata"
"162" "MOKC10" 0.777 0.223 "occidentalis"
"163" "MOMA19" 0.15 0.85 "laevigata"
"164" "SCSF17" 0.009 0.991 "laevigata"
"165" "VARC5" 0.992 0.008 "occidentalis"
"166" "SCSF16" 0.008 0.992 "laevigata"
"167" "ARWR5" 0.016 0.984 "laevigata"
"168" "ARWR7" 0.065 0.935 "laevigata"
"169" "ILHE1" 0.603 0.397 "mix"
"170" "ILLG16" 0.044 0.956 "laevigata"
"171" "ARWR14" 0.02 0.98 "laevigata"
"172" "ARCC3" 0.011 0.989 "laevigata"
