morphid	Spec	Co	Loc	Habitat	Date	Herbarium	drew	group	Ploidy	PetioleL	LfL	LfW	lf w higher lobe mm	lf w lower lobe mm	Lf widest	basalveinL	Lf margin	LfTNoAlan	LfTeeth	lfTLower	lfTUpper	secondaryVeins	PedicelL	Pedicel indumentum	Drupe mat	DrupeL	Calculate, don't measure:	Lf l:w ratio	Lf widest point	Pedicel:petiole l	Basal vein:lf l ratio
m026	Adams 8782	Delaware Co PA			28 Sept 1958	NA	FALSE	n	3	10	53	40			17	30	toothed	10+8	18				11	hispid	mat	8		1.33	0.32	1.1	0.566
m027	Swartley 233	Bucks Co PA			15 Oct 1933	NA	FALSE	n	3	6	58	38			23	31	toothed	16+9	25				16	glabrous	mat	10		1.53	0.4	2.67	0.534
m028	Adams 3893	Montgomery Co PA			2 Sept 1937	NA	FALSE	n	3	10	75	43			25	39	toothed	13+14	27				7	hispid	almost mat	8		1.74	0.33	0.7	0.52
m029	Fender 1446	Perry Co PA			14 June 1936	NA	FALSE	n	3	6	50	33			18	29	toothed	2+4	6				14	hispid	imm			1.52	0.36	2.33	0.58
m030	Adams 5045	Bedford Co PA			22 June 1941	NA	FALSE	n	3	3	34	22			14	22	toothed	8+2	10				4	hispid	imm			1.55	0.41	1.33	0.647
m031	Eames 23 Aug 1894	Stratford, Fairfield Co.  Connecticut				NA	FALSE	n	3	7	49	33			13	25	toothed	14+10	24				10	glabrous	immature	7		1.48	0.27	1.43	0.51
m032	Whittemore 21-025	Washington DC				NA	FALSE	n	3	8	60	37			10	26	sparse teeth	7+5	12				8	glabrous	turning orange	8		1.62	0.17	0.89	0.452
m033	R. C. Friesner 23886	Harrison Co. IN	Elizabeth Hill, along Road 211	Rocky hillside just west of quarry	30 Sept. 1950	CAS	FALSE	s	3	5	55	28			15		entire	0	0				10	crisp-hispid in proximal half, glabrous in distal half	mat	7		1.96	0.27	2	0
m034	E. J. Palmer 19269	Taney Co. MO	near Branson	Banks of rocky streams	30ix1920	MO	FALSE	s	3	4	52	29			16		entire or with one or a few indistinct weak crenae	0	0				7	crisp-hispid (dense in proximal half, sparser distally)	mat	8		1.79310344827586	0.307692307692308	1.75	
m035	Whittemore 10-042	Schuyler Co NY				NA	FALSE	n	3	5	55	38			15	40	finely toothed	12+10	22				7	hispid throughout	imm			1.44736842105263	0.272727272727273	1.4	0.727272727272727
m036	Oakes	Essex Co MA	Ipswich	ex herb Martindale		NA	FALSE	n	3	9	52	34			14	23	finely toothed	10+9	19				9	glabrous or a few hairs near base	mature	8		1.52941176470588	0.269230769230769	1	0.442307692307692
m037	Whittemore 10-055	Somerset Co NJ				NA	FALSE	n	3	15	76	47			30	36	toothed	19+17	36				15		missing			1.61702127659574	0.394736842105263	1	0.473684210526316
m038	Drushel 11352	Somerset Co NJ				NA	FALSE	n	3	7	110	70			35	60	toothed	18+16	30				20	glabrous or sparsely hispid proximally	imm			1.57142857142857	0.318181818181818	2.85714285714286	0.545454545454545
m039	Bush 4977	Macdonald Co MO				NA	FALSE	s	3	5	43	28			12	21	toothed	7+5	12				6	crisped-hispid	imm	6		1.53571428571429	0.27906976744186	1.2	0.488372093023256
m040	T G Lammers & M A Vincent 10562	Ste Genevieve Co MO				NA	FALSE	s	3	8	59	38			17	39	a few scattered teeth	5+2	7				10	crisped-hispid	mat	8		1.55263157894737	0.288135593220339	1.25	0.661016949152542
m041	Palmer 43437	Carroll Co MO				NA	FALSE	s	3	7	59	40			16	31	a few scattered teeth	0+2	2				6	crisped-hispid	mat	7		1.475	0.271186440677966	0.857142857142857	0.525423728813559
m042	ILGG13				2017	DAO	TRUE	s	3	4	44	40	15	25	15	18			17	8	9	4	10	glabrous	mat	6					
m043	ILGG08				2017	DAO	TRUE	s	3	7	49	47	17	30	17	30			10	9	1	4	13	glabrous	mat	8					
m044	MOSJ20				2017	DAO	TRUE	s	3	8	89	48	22	26	22	36			9	2	7	5	15	glabrous	mat	13					
m045	MOSJ09				2017	DAO	TRUE	s	3	6	57	41	19	22	14	30	sparsely pilose		0	0	0	3	12	sparsely pilose	mat	6					
m046	MOSJ08				2017	DAO	TRUE	s	3	7	50	30	13	17	17	32	sparsely pilose		0	0	0	3	18	sparsely pilose		7					
m047	MOSJ04				2017	DAO	TRUE	s	3	8	67	40	22	18	22	35			0	0	0	4	15	sparsely pilose	mat	7					
m048	MOSJ02				2017	DAO	TRUE	s	3	6	57	36	15	21	19	32			1	1	0	3	12	sparsely pilose	mat	6.5					
m049	ILWB23				2017	DAO	TRUE	s	3	6	55	37	18	19	16	30			0	0	0	3	10	a few stray hairs	mat	6					
m050	SCCC13				2017	DAO	TRUE	s		5	56	30	15	15	16	31			3	3	0	4	7.5	densely hirsute with curled hairs	mat	7					
m051	MIWA11				2017	DAO	TRUE	n	3	5	60	48	24	24	18	34			17	3	14	4	9	densely pilose, some curled hairs	mat	5					
